home_team,away_team,home_odds,away_odds,draw_odds
Tampa Bay Lightning,Nashville Predators,2.03,3.15,4.6
Pittsburgh Penguins,Chicago Blackhawks,1.69,4.35,5.0
Vegas Golden Knights,Seattle Kraken,2.0,3.22,4.6
Carolina Hurricanes,Ottawa Senators,1.85,3.65,4.5
Toronto Maple Leafs,Montreal Canadiens,1.6,4.9,4.85
Boston Bruins,Chicago Blackhawks,1.52,5.5,5.35
Los Angeles Kings,Colorado Avalanche,2.86,2.3,4.55
Vancouver Canucks,Edmonton Oilers,3.15,2.04,4.5
Calgary Flames,Winnipeg Jets,2.2,2.89,4.35
Buffalo Sabres,NY Rangers,2.8,2.22,4.4
Columbus Blue Jackets,Philadelphia Flyers,2.34,2.65,4.3
New Jersey Devils,Detroit Red Wings,1.71,4.33,4.75
Dallas Stars,St. Louis Blues,1.83,4.0,4.8
Minnesota Wild,Florida Panthers,2.2,2.8,4.3
Nashville Predators,Seattle Kraken,2.44,2.55,4.25
San Jose Sharks,Vegas Golden Knights,4.33,1.68,4.9
New Jersey Devils,Arizona Coyotes,1.68,4.2,5.0
Washington Capitals,Pittsburgh Penguins,2.65,2.3,4.55
Ottawa Senators,Philadelphia Flyers,1.9,3.55,4.5
Winnipeg Jets,Florida Panthers,2.16,2.85,4.55
Boston Bruins,Nashville Predators,1.91,3.5,4.5
Columbus Blue Jackets,NY Rangers,4.0,1.76,4.85
Detroit Red Wings,Tampa Bay Lightning,2.65,2.3,4.6
Montreal Canadiens,Chicago Blackhawks,2.12,3.1,4.55
Pittsburgh Penguins,Calgary Flames,2.48,2.48,4.55
Toronto Maple Leafs,Minnesota Wild,2.04,3.35,4.65
NY Islanders,Buffalo Sabres,2.14,2.95,4.55
St. Louis Blues,Seattle Kraken,2.5,2.45,4.45
San Jose Sharks,Colorado Avalanche,5.0,1.58,5.2
Vegas Golden Knights,Anaheim Ducks,1.51,5.5,5.3
Edmonton Oilers,Vancouver Canucks,1.74,4.1,5.0
Los Angeles Kings,Carolina Hurricanes,2.75,2.23,4.45
Ottawa Senators,Tampa Bay Lightning,2.2,2.8,4.55
Anaheim Ducks,Carolina Hurricanes,4.9,1.58,5.1
Columbus Blue Jackets,Detroit Red Wings,2.8,2.17,4.4
New Jersey Devils,Florida Panthers,2.01,3.54,4.6
NY Rangers,Arizona Coyotes,1.72,4.2,4.8
Toronto Maple Leafs,Chicago Blackhawks,1.5,5.5,5.3
Washington Capitals,Calgary Flames,2.7,2.28,4.4
Philadelphia Flyers,Vancouver Canucks,2.88,2.14,4.5
Montreal Canadiens,Minnesota Wild,2.95,2.1,4.5
Buffalo Sabres,Tampa Bay Lightning,2.3,2.65,4.7
NY Islanders,Arizona Coyotes,1.82,3.8,4.55
Nashville Predators,Edmonton Oilers,2.8,2.23,4.7
Winnipeg Jets,Los Angeles Kings,2.16,2.95,4.55
Seattle Kraken,Colorado Avalanche,3.15,2.02,4.5
San Jose Sharks,Carolina Hurricanes,5.25,1.52,5.25
Vegas Golden Knights,Dallas Stars,2.6,2.52,4.5
Ottawa Senators,Washington Capitals,1.91,3.38,4.65
Detroit Red Wings,Pittsburgh Penguins,2.75,2.23,4.45
Buffalo Sabres,Calgary Flames,2.55,2.35,4.6
Florida Panthers,Toronto Maple Leafs,2.75,2.2,4.7
NY Rangers,Nashville Predators,1.84,3.6,4.7
Tampa Bay Lightning,Vancouver Canucks,2.2,2.8,4.6
Philadelphia Flyers,Edmonton Oilers,3.7,1.82,4.8
Minnesota Wild,Los Angeles Kings,2.55,2.59,4.5
St. Louis Blues,Arizona Coyotes,2.35,2.55,4.45
Winnipeg Jets,Vegas Golden Knights,2.55,2.43,4.45
Anaheim Ducks,Dallas Stars,4.35,1.67,4.9
Seattle Kraken,Carolina Hurricanes,2.9,2.18,4.45
San Jose Sharks,Boston Bruins,4.75,1.62,4.9
Colorado Avalanche,Chicago Blackhawks,1.49,5.8,5.35
Columbus Blue Jackets,Calgary Flames,3.0,2.08,4.65
NY Islanders,New Jersey Devils,2.63,2.35,4.4
Ottawa Senators,Detroit Red Wings,2.0,3.15,4.75
Arizona Coyotes,Anaheim Ducks,1.86,3.5,4.7
Buffalo Sabres,NY Islanders,2.32,2.7,4.5
Florida Panthers,Vancouver Canucks,2.12,2.94,4.65
Montreal Canadiens,Washington Capitals,2.65,2.35,4.5
Tampa Bay Lightning,Toronto Maple Leafs,2.9,2.12,4.7
Chicago Blackhawks,Vegas Golden Knights,4.0,1.74,4.75
Dallas Stars,Philadelphia Flyers,1.68,4.25,4.8
Minnesota Wild,Columbus Blue Jackets,1.73,4.1,4.9
Nashville Predators,San Jose Sharks,1.68,4.33,4.8
St. Louis Blues,Pittsburgh Penguins,3.2,1.98,4.6
Colorado Avalanche,Carolina Hurricanes,2.2,3.13,4.35
Seattle Kraken,NY Rangers,2.6,2.4,4.45
Edmonton Oilers,Winnipeg Jets,1.98,3.28,4.65
Los Angeles Kings,Boston Bruins,2.48,2.48,4.33
Detroit Red Wings,Calgary Flames,2.9,2.12,4.6
Anaheim Ducks,Boston Bruins,4.5,1.7,4.85
Buffalo Sabres,Montreal Canadiens,1.87,3.5,4.85
Washington Capitals,Toronto Maple Leafs,3.2,1.93,4.7
Ottawa Senators,Buffalo Sabres,1.86,3.5,4.75
Tampa Bay Lightning,Carolina Hurricanes,2.7,2.28,4.45
Montreal Canadiens,New Jersey Devils,4.25,1.7,4.95
Pittsburgh Penguins,Dallas Stars,2.75,2.23,4.4
Florida Panthers,San Jose Sharks,1.65,4.4,5.05
NY Islanders,Colorado Avalanche,2.8,2.2,4.5
Detroit Red Wings,Seattle Kraken,2.3,2.66,4.4
Chicago Blackhawks,Boston Bruins,4.2,1.72,4.65
Winnipeg Jets,St. Louis Blues,1.89,3.45,4.55
Minnesota Wild,Edmonton Oilers,2.45,2.5,4.4
Nashville Predators,Vancouver Canucks,2.28,2.7,4.35
Calgary Flames,NY Rangers,2.8,2.38,4.45
Los Angeles Kings,Arizona Coyotes,1.84,3.5,4.7
Vegas Golden Knights,Philadelphia Flyers,1.8,3.7,4.8
New Jersey Devils,Washington Capitals,1.65,4.2,5.05
Boston Bruins,Anaheim Ducks,1.55,5.0,5.5
Carolina Hurricanes,Seattle Kraken,1.84,3.65,4.75
Detroit Red Wings,Winnipeg Jets,2.7,2.28,4.55
Montreal Canadiens,Columbus Blue Jackets,2.38,2.55,4.55
Pittsburgh Penguins,Colorado Avalanche,2.9,2.1,4.65
Tampa Bay Lightning,San Jose Sharks,1.57,4.75,5.4
Philadelphia Flyers,Minnesota Wild,2.6,2.35,4.45
NY Islanders,Ottawa Senators,2.38,2.65,4.4
Dallas Stars,Toronto Maple Leafs,2.4,2.5,4.5
Calgary Flames,St. Louis Blues,1.9,3.5,4.6
Edmonton Oilers,NY Rangers,2.81,2.31,4.65
Vegas Golden Knights,Chicago Blackhawks,1.51,5.75,5.75
Carolina Hurricanes,San Jose Sharks,1.42,6.5,5.9
New Jersey Devils,Buffalo Sabres,1.84,3.55,4.75
Washington Capitals,Minnesota Wild,2.27,2.75,4.33
Arizona Coyotes,Los Angeles Kings,2.96,2.24,4.55
Vancouver Canucks,St. Louis Blues,1.86,3.55,4.5
Philadelphia Flyers,Anaheim Ducks,1.93,3.35,4.6
Florida Panthers,Seattle Kraken,2.07,3.0,4.55
Nashville Predators,Toronto Maple Leafs,2.88,2.13,4.5
Boston Bruins,Detroit Red Wings,1.93,3.66,4.8
Columbus Blue Jackets,NY Islanders,2.9,2.1,4.5
Montreal Canadiens,Winnipeg Jets,3.1,2.05,4.6
Pittsburgh Penguins,Ottawa Senators,2.08,3.0,4.7
Vancouver Canucks,NY Rangers,3.25,1.98,4.5
Los Angeles Kings,Vegas Golden Knights,2.5,2.48,4.45
Buffalo Sabres,Colorado Avalanche,3.45,1.91,4.65
New Jersey Devils,Minnesota Wild,1.95,3.2,4.6
Washington Capitals,San Jose Sharks,1.77,4.2,4.55
Edmonton Oilers,Calgary Flames,2.01,3.2,4.5
Boston Bruins,Florida Panthers,2.0,3.2,4.6
Philadelphia Flyers,Carolina Hurricanes,3.5,1.88,4.8
Pittsburgh Penguins,Anaheim Ducks,1.67,4.3,4.95
Tampa Bay Lightning,Seattle Kraken,2.1,2.95,4.55
Winnipeg Jets,NY Rangers,2.72,2.4,4.55
NY Islanders,Detroit Red Wings,2.03,3.25,4.45
Dallas Stars,Columbus Blue Jackets,1.6,4.5,5.2
Arizona Coyotes,Chicago Blackhawks,1.9,3.6,4.55
Vegas Golden Knights,Montreal Canadiens,1.68,4.4,4.9
Toronto Maple Leafs,Los Angeles Kings,2.05,3.05,4.7
Vancouver Canucks,Nashville Predators,2.1,3.05,4.55
Philadelphia Flyers,Buffalo Sabres,2.48,2.48,4.6
Calgary Flames,Dallas Stars,2.9,2.15,4.35
Colorado Avalanche,St. Louis Blues,1.74,4.25,5.0
